STT,Voi,Ma The,Bien So Xe,Ngay,Gio,Tien,Lit,Gia,Tong Tien,Tong Lit,Tien Nop,So Du, Ma Giao Dich
81,99,5FCF32E7,51C17164 ,20220816,234523,8392000,335680,25000,515711121,27542245,0,-515711121,3963
82,99,5FCF32E7,51C17164 ,20220825,34020,6564500,262580,25000,522275621,27804825,0,-522275621,26249
83,99,5FCF32E7,51C17164 ,20220830,131711,2500250,100010,25000,524775871,27904835,0,-524775871,1996
84,99,5FCF32E7,51C17164 ,20220903,210817,8251625,330065,25000,533027496,28234900,0,-533027496,31113
85,99,5FCF32E7,51C17164 ,20220912,64232,9710875,388435,25000,542738371,28623335,0,-542738371,11982
86,99,5FCF32E7,51C17164 ,20220921,102955,9072625,362905,25000,551810996,28986240,0,-551810996,13242
87,99,5FCF32E7,51C17164 ,20220930,63817,1720000,68800,25000,553530996,29055040,0,-553530996,27658
88,99,5FCF32E7,51C17164 ,20221001,65304,8041375,321655,25000,561572371,29376695,0,-561572371,21041
89,99,5FCF32E7,51C17164 ,20221012,114234,9766000,390640,25000,571338371,29767335,0,-571338371,11093
90,99,5FCF32E7,51C17164 ,20221020,200511,8504000,340160,25000,579842371,30107495,0,-579842371,15041
91,99,5FCF32E7,51C17164 ,20221107,181556,7901125,316045,25000,587743496,30423540,0,-587743496,2572
92,99,5FCF32E7,51C17164 ,20221115,205525,7567625,302705,25000,595311121,30726245,0,-595311121,8068
93,99,5FCF32E7,51C17164 ,20221123,215307,7568000,302720,25000,602879121,31028965,0,-602879121,23955
94,99,5FCF32E7,51C17164 ,20221206,184117,6809625,272385,25000,609688746,31301350,0,-609688746,21826
95,99,5FCF32E7,51C17164 ,20221219,75336,6600500,264020,25000,616289246,31565370,0,-616289246,32677
96,99,5FCF32E7,51C17164 ,20221226,213953,5033875,201355,25000,621323121,31766725,0,-621323121,7739
97,99,5FCF32E7,51C17164 ,20221230,2205,2562500,102500,25000,623885621,31869225,0,-623885621,29446
98,99,5FCF32E7,51C17164 ,20230104,31415,6481500,259260,25000,630367121,32128485,0,-630367121,19765
99,99,5FCF32E7,51C17164 ,20230111,54412,5001375,200055,25000,635368496,32328540,0,-635368496,11686
100,99,5FCF32E7,51C17164 ,20230116,115023,3804250,152170,25000,639172746,32480710,0,-639172746,11176
101,99,5FCF32E7,51C17164 ,20230202,72255,6504750,260190,25000,645677496,32740900,0,-645677496,15041
102,99,5FCF32E7,51C17164 ,20230216,224723,7502750,300110,25000,653180246,33041010,0,-653180246,12685
103,99,5FCF32E7,51C17164 ,20230222,203856,6256000,250240,25000,659436246,33291250,0,-659436246,1150
104,99,5FCF32E7,51C17164 ,20230303,215333,5254200,250200,21000,664690446,33541450,0,-664690446,2990
105,99,5FCF32E7,51C17164 ,20230310,193437,6300420,300020,21000,670990866,33841470,0,-670990866,17012
106,99,5FCF32E7,51C17164 ,20230317,225255,5881785,280085,21000,676872651,34121555,0,-676872651,15590
